'umra	umrah
queer	hombreng | homo | maho
quell	menindih
quench	menyepuh
quenching	pemadaman | pendinginan
query	kueri | permintaan
quest	pencarian
question	pertanyaan | soal
question mark	tanda tanya
questionnaire	kuesioner | angket
queue	antrean | antre
queue up	antri
quick	cepat
quickly	dengan cepat
quickness	kelancaran
quicksand	pasir isap
quicksilver	raksa
quiddity	bensin
quiet	ranap
quiet down	membungkam
quieten	menenangkan
quiff	jambul
quill	bulu
quim	memek
quince	quince
quinoa	kinoa
quintal	kuintal
quintessence	intisari
quintet	kwintet
quintillion	juta
quip	begurau
quire	buku
quirk	kekocakan
quirky	kocak
quit	henti | keluar
quite	cukup
quiver	tarkas
quiz	kuis
quoit	cincin
quoll	gumbem
quorum	kuorum
quotation	kuotasi | oferte
quotation marks	tanda petik | tanda kutip
quote	mengutip | menukil | nukil | kutipan | nukilan | sitasi
quotes	kata-kata mutiara
quotidian	harian
quotient	hasil bagi | kuosien
rabbi	rabi | rabbi
rabbit	kelinci
rabbit hole	taman
rabbit warren	labirin
rabble rouser	peribut
rabies	rabies | anjing gila
raccoon	rakun
raccoon dog	anjing rakun
race	ras | lomba | pacu | laju | pacuan
racehorse	kuda pacu
raceme	anggur
racer	alir
racewalking	kali
raciness	api
racing	balap
racism	rasisme
racist	rasialis | rasis
rack	rak
racket	raket
racketeer	tukang kompas
radar	radar
radar gun	radar kecepatan
radian	radian
radiation	radiasi
radical	radikal
radicalism	radikalisme
radio	radio | peti bicara | penerima radio | radio mobil | pemancar radio | tetuang udara
radio amateur	amatir radio
radio telescope	teleskop radio
radioactive	radioaktif
radioactive decay	peluruhan radioaktif
radioactive waste	limbah radioaktif
radioactivity	keradioaktifan
radiocarbon dating	penanggalan radiokarbon
radiole	kait bulu
radiologist	radiolog
radiology	radiologi
radiometer	radiometer
radiotelephone	telepon radio
radish	lobak
radium	radium
radius	radius | jari-jari
radix	akar
raffia	rafia
raft	rakit
rag	lap
rage	amuk | marah
ragebait	pancing amarah
ragman	pemulung
ragpicker	pemulung
raid	penggerebekan | razia
rail	rel kereta api | rel
railing	pagar
railroad car	gerbong
railroad tie	bantalan rel
railroad track	jalur rel
railway	jalur kereta api | kereta api | perkeretaapian | jalan rel | rel | rel kereta
railway station	stasiun kereta api
railway track	sepur
rain	hujan | turun hujan
rain check	menunda
rain cloud	awan hitam | mendung
rain dance	tari hujan
rain gauge	penakar hujan
rain shower	hujan
rainbow	pelangi | bianglala
rainbow kick	bianglala
raincoat	jas hujan
raindrop	tetes hujan | titik hujan
rainfall	hujan
rainforest	hutan hujan tropika
raining	hujan
rainstorm	hujan lebat
rainwater	air hujan
rainy season	musim hujan
raise	kenaikan
raisin	kismis
rake	garu
rakshasa	raksasa
rally	demonstrasi
ram	biri-biri
ramble	berkeluyuran
rambutan	rambutan | pohon rambutan
ramp	rampa
ramrod	chopstik
ramshackle	bobrok
rancid	anyir
rancor	kekesalan
rand	pinggir
random	acak
random number	angka acak
random sample	percontoh acak | sampel acak
randomization	pengacakan
randomness	acak
range	kisaran
rangefinder	pengukur jarak
rani	rani
rank	peringkat
ranking	peringkat
ransack	menggerayangi
ransom	tebusan
ransomware	perangkat pemeras
rapacious	angkara murka
rape	pemerkosaan | perkosaan | perkosa | perogolan | rogol | rudapaksa
rape culture	budaya pemerkosaan
rapid	jeram | riam
rapidity	kelancaran
rapidly	segera
rapine	perampokan
rapist	pemerkosa | perogol
rapt	asyik
raptorial	angkara murka
rare	langka | jarang
rare earth element	logam tanah jarang
rarely	jarang
rascal	bajingan
rash	ledakan
rasp	parut
raspberry	frambos | rasberi
raspy	parut
rat	tikus
rat out	adu
ratchet wrench	kunci krek
rate	angka
rather	ketimbang
rather than	daripada
ratification	ratifikasi
ratify	mengesahkan
rating	merek
ratio	nisbah | rasio
ration	ransum | catu | jatah | pelabur
rational	rasional
rational number	bilangan rasional
rationale	alasan
rationalism	rasionalisme
rationalist	rasionalis
rationalization	rasionalisasi
rattan	rotan
rattle	mainan bayi
rattlesnake	mura
raunchy	abnormal
raven	gagak besar
ravenous	serakah
raw	mentah
raw material	bahan mentah
rax	kenyal
ray	sinar | pari
ray of light	ilham
raze	membotak
razor	pisau cukur | cukur
razor blade	pisau silet
razor clam	kerang kuku | kerang pisau | lorjuk
re	daun
reach	jangkauan
reaction	reaksi
reactive	aktif
reactivity	karya
reactor	reaktor
read	baca | berbunyi | dibaca | pelajari | mengerti
read-only memory	memori hanya baca
reader	pembaca | alat baca
readership	kepembacaan
reading	kemampuan membaca
reading comprehension	pemahaman bacaan
reading list	daftar bacaan
reading material	bacaan
readjustment	penyesuaian kembali
ready	siap
ready, aim, fire	bersiap, bidik, tembak
ready, set, go	bersedia, siap, ya
real	riil
real estate	lahan yasan | real estat
real life	kehidupan nyata
real number	bilangan riil
real-time	waktu nyata
realism	realisme
reality	kenyataan | realitas
reality show	acara realitas
reality television	acara rekayasa realita
realization	realisasi
realize	mewujudkan
really	dan
realm	alam | ranah
realpolitik	realpolitik
ream	rim
reanalysis	analisis ulang | kupasan ulang | keliru lema
reanimation	reanimasi
reap	menuai
reap what one sows	menuai apa yang ditanam
reaper	pembabat
rear	menernakkan
rear end	belakang
rear-view mirror	kaca spion tengah
reason	alasan | motif | sebab | beralasan | alas | dasar
reasonable	alim
reasonably	agak
reassemble	membangun kembali
reassure	menenangkan
rebar	baja tulangan beton
rebate	rabat
rebel	pendurhaka | pemberontak
rebellion	pemberontakan
rebellious	pemberontak
reboot	menghidupkan ulang
rebound	pantulan
rebracketing	keliru susun
rebuff	menolak
rebuild	bangun ulang
rebuke	bentur | berbenturan | menegur | mengganjar
rebut	menolak
rebuttal	bidasan | sanggahan
recalcitrant	pemberontak
recall	penarikan | menarik
recapitulate	mengikhtisarkan
recapitulation	ikhtisar | rekapitulasi | ringkasan
recede	bergeser
receipt	kuitansi | bon | resi | setruk | tanda terima
receive	menerima
receiver	penerima
recent	baru saja
receptacle	tangki
reception	meja depan
receptionist	resepsionis
receptive	buka
receptor	reseptor
recess	reses
recession	resesi | kemerosotan
recidivist	residivis
recipe	resep
recipient	penerima
reciprocal	timbal balik
reciprocate	mengganti
reciprocity	kesalingan | resiprositas | timbal balik
recitation	hafalan | penghafalan
recite	hafal
reckless	gegabah | gila-gilaan | sembrono
recklessness	kesembronoan
reckon	memperkirakan
reckoning	rekening
recognition	pengakuan
recognize	mengakui
recoil	bergeser
recollect	ingat
recollection	ingat
recommend	menganjurkan
recommendable	direkomendasikan
recommendation	rekomendasi | saran
recompense	ganjaran
recon	pencerahan
reconciliation	perdamaian | rekonsiliasi | rujuk
reconnaissance	pengintaian | penyelidikan
reconnoiter	pencerahan
reconquer	merebut kembali
reconstruction	rekonstruksi
record	rekor
record label	perusahaan rekaman
record player	fonograf | gramofon
record-breaking	rekor
recount	bercerita
recover	sembuh | sembuh kembali
recreation	rekreasi
recreational drug	narkoba
recreative	rekreatif
recruit	rekrut
recruitment	penerimaan | perekrutan | rekrutmen
rectangle	persegi panjang
rectifier	penyearah
rectify	memperbaiki
rectitude	kebenaran
rector	rektor
rectorship	rektorat
rectum	rektum
recumbent	sepeda berbaring
recursion	rekursi
recursive	rekursi
recuse	dari
recycle	daur ulang | mendaur ulang
recycle bin	bakul
recycling	daur ulang
red	merah
red blood cell	sel darah merah
red cabbage	kubis merah
red card	kartu merah
red deer	kijang
red giant	raksasa merah
red kite	elang merah
red meat	daging merah
red oak	pasang merah utara
red pepper	paprika
red rail	mandar merah
red squirrel	bajing
red tape	birokrasi
red wine	anggur merah
red-eared slider	kura-kura Brasil
red-light district	lokalisasi
redact	memberedel
redaction	redaksi
redden	memerah
redeem	membebaskan
redhead	pirang
redheaded	pirang
redistribution	pembagian kembali | redistribusi
redo	mengulang | mengulangi
redound	belok
redox	redoks
redox reaction	reaksi redoks
redshift	pergeseran merah
reduce	mengurangi
reducing agent	bahan pereduksi
reduction	reduksi | penyederhanaan
reductionism	reduksionisme
redundancy	redundansi
redundant	yg berlebihan
reduplication	reduplikasi
reed	alang | alang-alang
reef	terumbu
reek	bau busuk
reel	terhuyung
reelect	memilih kembali
reenact	meraga ulang | mereka ulang
reenactment	reka ulang
refectory	bank
refer	mengarahkan
referee	wasit
reference	acuan | referensi | rujukan
referendum	referendum
refine	mengolah
refinery	kilang
reflect	mencerminkan
reflection	cerminan | pantulan | refleksi | bayangan | renungan
reflective	reflektif
reflex	refleks
reflux	refluks
reforestation	reboisasi
reform	reformasi
reformism	reformisme
reformist	reformis
refraction	refraksi | pembiasan
refractive index	indeks bias
refresh	menyegarkan
refrigerant	minuman ringan
refrigerator	kulkas | lemari es | lemari pendingin | peti es
refugee	pengungsi
refund	pengembalian | pengembalian dana | pengembalian uang | restitusi
refusal	penolakan
refuse	menolak | sampah
regain	merebut kembali
regal	kerajaan
regard	mempertimbangkan
regarding	tentang
regency	kabupaten
regent	wali
regime	rezim
regimen	regimen
regiment	resimen
regiolect	regiolek
region	daerah | kawasan | regio | wilayah
regional	regional
regionalism	regionalisme
register	daftar | mendaftar | laras bahasa | warna bahasa
registered	sertifikat
registered mail	pos tercatat | surat tercatat
registration	meja depan
regression	regresi
regret	menyesal | penyesalan
regular	atur | reguler
regularly	acap kali
regulate	mengatur
regulation	peraturan | regulasi
regulator	pengatur | regulator
rehabilitation	rehabilitasi
rehearsal	gladi
rehearse	mengulang
reign	pemerintahan
reimbursement	angsur
rein	tali kekang
reindeer	rusa kutub
reinforced concrete	beton bertulang
reinforcement	bala bantuan
reinstall	baru
reject	menolak
rejection	penolakan
rejoinder	balas
relapse	kambuh
relapsing fever	demam mengambuh
related	kerabat
related right	hak terkait
relation	hubungan
relationship	hubungan | relasi
relative	relatif | bertalian | kerabat | nisbi
relative atomic mass	massa atom relatif
relative frequency	frekuensi relatif
relatively	relatif
relax	mengendurkan
relaxed	santai
relay	relai | merelai
relay race	estafet | lari sambung
release	melepaskan
relentless	gayal
relevance	relevansi
relevant	relevan
reliability	keandalan | keterandalan | reliabilitas
reliable	reliabel
reliance	percaya diri
relic	relikui | relik
relief	relief
relieve	melegakan
religion	agama | din
religious	agamawi | agamis | keagamaan | religius
relinquish	menelantarkan
relish	mereguk
reload	menyegarkan
relocation	relokasi
reluctance	keengganan
reluctant	enggan
rely on	mengandalkan
remain	bekas
remainder	remahremah
remains	bekas
remark	pengamatan
remarkable	terkemuka
rematch	balas dendam
remedy	obat
remember	ingat
rememberer	pengingat
remembrance	ingatan
remind	mengingatkan
reminder	pemanggilan kembali
remission	ampun
remittance	pengiriman uang
remnant	remahremah
remote	pengendali jarak jauh
remote control	pengendali jarak jauh
remote sensing	indraja | penginderaan jauh
remotely	jarak
removal	penghapusan
remove	hilangkan
remuneration	bayaran | imbalan | remunerasi
renal	ginjal
rend	bedah
render	menyebabkan | stuko | turap | reka citra | render | menghibahkan
rendering	terjemahan
rendezvous	kencan
renegade	pemberontak
renege	mengenyampingkan
renew	memperbarui
renewable energy	energi terbarukan
renovate	memperbarui
renovation	renovasi
renown	kemasyhuran
renowned	terkenal | masyur
rent	sewa
rent-seeker	pemburu rente
repackage	kemas ulang
repair	perbaikan
reparation	ganti rugi
repatriation	repatriasi
repeal	batal
repeat	mengulang
repeat offender	bramacorah | penjahat kambuhan | residivis
repeatedly	berkali-kali
repel	menolak
repent	belok
repercussion	akibat
replacement	pengganti
replica	replika
replication	replikasi
replicon	replikon
reply	jawab
report	laporan | melaporkan | memberi laporan
report card	rapor
reporter	jurnalis
repository	brankas
reprehensible	bersalah
represent	mewakili
representation	representasi
representative	wakil
representative democracy	demokrasi perwakilan
representativity	keterwakilan
repress	menindih
repression	represi
repressive	represif
repressor	represor
reprieve	berkat
reprimand	hardik | menegur
reprint	cetak ulang
reproach	celaan
reprobate	berangkat
reproduction	pembiakan | reproduksi
reproductive health	kesehatan reproduksi
reprove	mencela
reptile	reptil | binatang melata
republic	republik
republican	republiken | republikan
republicanism	republikanisme
repudiate	memungkari
repudiation	penolakan
reputation	reputasi
request	minta
requiem	rekuiem
require	ajak
requirement	permintaan
requisite	perlu
rescind	membatalkan
rescue	menolong
rescuer	penyelamat
research	penelitian | riset
resemblance	kemiripan
resent	dendam | iri
resentful	muak
reservation	pesanan
reserve	melindungi
reservoir	penampungan | reservoir | takungan | waduk
reshuffle	merombak
reside	tinggal | menetap
residence	kediaman | domisili | hunian
residency	kependudukan
resident	penghuni | dokter residen
residual power	kekuasaan residual | kekuatan residual
residual stress	tegangan sisa
residual-current device	gawai proteksi arus sisa
residue	residu
resign	menelantarkan
resignation	pengunduran diri
resigned	pasrah
resilience	daya bingkas | daya pulih | resiliensi | daya lenting
resilient	awet
resin	damar
resist	melawan
resistance	hambatan | penentangan | resistansi | resistensi | berlawanan arus | kelompok pemberontak
resistant	awet
resistor	resistor
resit	menyeterika
resolute	kebun
resolution	resolusi
resolve	memecahkan
resonance	talunan | pertalunan
resonate	melekat
resorption	resorpsi
resort	permohonan
resound	bergema
resource	sumber daya
resourceful	banyak akal
respect	hormat
respectability	kesopanan
respectable	pantas
respiration	pernapasan | respirasi
respiratory	pernapasan
respond	menjawab
respondent	responden
response	jawaban
responsibility	tanggung jawab
responsible	bertanggung jawab
responsive	memar
rest	istirahat | beristirahat
rest area	tempat istirahat
rest in peace	beristirahat dalam damai
restate	menegaskan kembali
restaurant	rumah makan | restoran
restitute	merestitusikan
restitution	ganti rugi
restoration	pemugaran
restrain	menawan
restrictive	ketat
restroom	kamar mandi
restructuring	penstrukturan ulang | restrukturisasi
result	hasil | akibat | perolehan | buah
resultant	resultan
resume	melanjutkan
retail	ecer | eceran | mengecer
retailer	pedagang
retain	menahan
retained earnings	laba ditahan
retainer	cengkeram
retaliation	pembalasan
retarded	terbelakang
retention	retensi
rethink	berpikir
reticent	enggan
reticulation	jaringan
reticulum	retikulum
retina	retina
retinitis	retinitis
retinoblastoma	retinoblastoma
retinoic acid	asam retinoat
retiree	pensiunan
retirement	pensiun
retirement home	panti jompo
retort	melansir
retractor	hak | retraktor
retreat	mundur | khalwat | retret
retribution	azab
retrieve	menolong
retrogradation	perubahan sifat pati | retrogradasi
retrospection	retrospeksi
retrospective	kenangan kembali | pandangan balik
return	retur | balik | membalik | pulang
return on investment	balik modal | pengembalian investasi
return ticket	pulang pergi
reunion	pertemuan
revamp	memperbarui
revanche	balas dendam
reveal	menguak
revelation	wahyu
revenant	hantu
revenge	balas dendam | pembalasan
revenge is a dish best served cold	ada hujan ada panas, ada hari boleh balas
revenue	pendapatan
revere	mendewakan
reverent	alim
reverie	lamunan
revers	belakang
reverse	belakang
reverse engineering	rekayasa balik | rekayasa mundur
revert	balik
revetment	revetmen
review	resensi | ulasan | peninjauan kembali
revile	mencemooh
revision	pendaan | revisi
revolt	pemberontakan | berbalik
revolution	revolusi
revolve	edar
revolver	pistol | repolper
revolving door	pintu putar
revue	majalah
reward	imbalan | ganjaran | hadiah | menghadiahkan
rewrite	menulis ulang
rhea	nandu
rhenium	renium
rhetoric	retorika
rhetorical	retorik | retoris
rheum	selesma | pilek
rheumatic	reumatik
rheumatic fever	demam reumatik
rheumatology	rematologi
rhinitis	rhinitis
rhinoceros	badak
rhinoceros beetle	kumbang badak
rhizome	rimpang
rhizosphere	rizosfer
rhombohedron	romboedro
rhombus	belah ketupat
rhotacism	cadel
rhubarb	rhubarb
rhumb line	loksodrom
rhythm	ritme
rhythmic gymnastics	senam irama
rial	rial
rib	rusuk
rib cage	dada
ribald	cabul
ribbit	kekok | kuak kuak
ribbon	pita | ban
ribbon cable	taplak
ribonuclease	ribonuklease
ribonucleic acid	asam ribonukleat
ribosome	ribosom
rice	padi | beras | nasi
rice cake	kue beras
rice cooker	penanak nasi | pengukus nasi
rice flour	tepung beras
rice noodle	bihun
rice paper	kertas beras
rice pudding	puding nasi
rice vinegar	cuka beras
rice water	tajin
rich	kaya
rich kid	arbei
rickets	rakitis
rickettsia	riketsia
rickety	bobrok
rickshaw	becak | angkong | langca | langcia
ricochet	memantul
riddle	tebakan
ride	naik | menaiki | mengendarai | menunggang
rider	pengendara | penunggang
ridge	punggung
ridicule	menertawakan
riff	melodi
rifle	senapan
rig	jas
rigger	juru ikat
right	kanan | benar | betul | hak | sayap kanan | lurus
right angle	benar
right away	dengan segera
right wing	kanan
right-hand rule	kaidah tangan kanan
right-handed	bukan kidal
right-wing	sayap kanan
right-winger	kanan
rightard	kanan
righteous	adil
rigid	beku
rigor mortis	kaku mayat | rigor mortis
rile	menyebabkan
rim	pinggir
rimjob	anilingus
rind	kerak
ring	cincin | komplot | dering
ring binder	tas sekolah
ring finger	jari manis
ring road	jalan lingkar
ringgit	ringgit
ringlet	gesper
ringtone	nada dering
ringworm	kurap
rinse	membilas
riot	huru-hara
rip	menyobek
rip off	membodohi
ripe	masak | matang
ripening	remaja
rise	naik | bertambah | kenaikan | bangkit | terbit
riser	penaik | anak tangga naik | batang busur | daun busur
risible	lucu
risk	risiko
risk assessment	asesmen risiko | penaksiran risiko | penentuan risiko | penilaian risiko | prakiraan resiko | taksiran resiko
risk-free	aman
risky	berisiko
risotto	risoto
rite	ritus | upacara
rite of passage	ritus peralihan
ritual	ritual
rival	lawan | musun | penentang
rivalry	persaingan
river	sungai
river water	air sungai
riverbed	ranjang
riverine	sungai
riverside	pinggir sungai | tepi sungai
riveting	menarik
rix-dollar	ringgit
road	jalan
road bike	sepeda balap
road map	peta jalan
road roller	mesin penggilas
road salt	asin
roadbase	berat
roadblock	pembatas jalan | sekatan jalan raya | halangan | rintangan
roadhouse	sopir truk
roadie	sekring
roadside bomb	bom pinggir jalan
roadster	pariwisata
roadway	jalur
roam	mengembara
roar	mengaum
roaring	raungan
roast	menggoreng
roast beef	sapi panggang
roast pork	babi panggang
roasted	bakar
rob	rampok
robber	begal | perampok
robbery	perampokan
robot	robot
robotics	robotika
robust	tegar
roc	rok
rock	bebatuan
rock candy	gula batu
rock climbing	panjat tebing
rock dove	merpati batu
rock music	musik rok
rock paper scissors	batu, gunting, kertas | gunting, batu, kertas | suit | suten
rocket	roket
rocket artillery	artileri roket
rocket science	susah parah
rocket scientist	kepala
rocking chair	kursi goyang
rocks	peluru
rocky	keras
rococo	rococo
rod	buntut
rod cell	sel batang
rodent	pengerat
roe	rum
roentgenium	roentgenium
roger	dimengerti | diterima
rogue	bajingan
rogue state	negara nakal
role	peranan | peran | tugas
role model	model peranan
roll	melinting
roll call	absen
roll out	membentangkan
roller skate	sepatu roda
rollerblade	gulungan
rolling stock	bakal pelanting
roly-poly	belalang
romanticism	romantisisme
roof	atap
roof tile	genting
rooftop	atap
rook	benteng
rookie	biru
room	kamar | ruang | bilik
room temperature	suhu kamar
roomy	agung
roost	tidur
rooster	ayam jago | ayam jantan | jago
root	akar | berakar | membuka root | mengoprek izin | tumbuh akar | punca
root beer	rutbir
root vegetable	sayuran akar
rootstock	kuda
rope	tali
rosary	rosario
rose	bunga mawar | mawar | merah muda
rose myrtle	kemunting
roselle	rosela | rosella
rosemary	rosemary | rosmarin
rosette	stopkontak
rosewater	air mawar
rosin	gondorukem
roster	daftar
rosé	merah jambu
rot	pembusukan
rotate	belok
rotation	putaran | rotasi
roti	roti
roti canai	roti canai
rotten	busuk
rottenness	pembusukan
rotund	lempeng
rough	kasar
roughly	kurang lebih
rouille	karat
roulade	rolade
roulette	rolet
round	bundar | bulat | babak | ronde
round off	melempengkan
round out	menggenapi
round robin	ayam
round trip	pulang pergi
round up	melempengkan
roundabout	bundaran
rounded	bundar
roundel	peluru
rousong	abon
route	rute | relasi
router	penghala
routine	rutin
roux	pirang
row	baris
rowboat	sekoci
rower	pedayung
rowing	dayung
royal	kerajaan
royal assent	pengesahan raja
royal blue	benhur | biru indah
royal family	keluarga kerajaan
royalty	royalti
rozzer	ayam
rub	gosok
rub out	menghapus
rubber	karet
rubber plant	pohon karet
rubber stamp	cap
rubbish	sampah
rubble	puing
rubella	rubela | campak Jerman
rubidium	rubidium
ruble	rubel
rubric	rubrik
ruby	mirah
rucksack	ransel
ruction	kericuhan
rudder	daun kemudi | kemudi sepak | kemudi arah
ruddy	merah
ruddy shelduck	umukia merah
rude	kasar
rudimentary	rudimenter
rue	jalan
ruff	pelatuk
rug	karpet
rugby	sepak bola rugbi
rugby ball	bola rugbi
rugby player	pemain rugbi
rugged	kasar
ruin	puing
rule	peraturan
rule of law	supremasi hukum
rule of thumb	heuristik
rule out	menggugurkan
rulebook	aturan
ruler	penggaris | mistar | penguasa
ruling	keputusan
ruling class	kelas berkuasa | kelas penguasa
rum	rum
rumble	bunyi
rumen	perut
ruminant	ruminansia
ruminate	memamah biak
rumination	ruminasi
rummage	menggerayangi
rummy	remi
rumor	desas-desus | kabar angin | isu | kabar burung | rumor
rumpled	kumal
rumpus	penyimpangan
run	lari | jalan | menjalankan | mengalir
run after	berburu
run along	pergi
run away	cepat
run out	berjalan-jalan
run out the clock	membeku
run over	melindas
run through	menyiram
run up	berhutang
runaway	usiran
runestone	batu Rune
rung	anak tangga
runner	pelari
runner-up	juara kedua | peringkat kedua | wakil juara
running	balap
running water	air leding
runoff	limpasan
runs	diare
runt	anak yatim
runway	landas pacu | landasan pacu
rupee	rupee
rupture	ruptur
rural	pedesaan
ruse	diskon
rushnyk	handuk
russet	pirang
rust	karat
rusty	karatan
rut	marasmus
ruthenium	rutenium
rutherfordium	rutherfordium
rutter	sopir truk
ryazhanka	ryazhanka | ryazhenka
rye	gandum hitam
röntgen	rontgen
sable	hitam
sabot	gembok roda
sabotage	sabotase
sabre	sabel
saccharine	sakarin
sack	karung
sack race	balap karung
sacral	sakral
sacrament	sakramen
sacred	keramat | sakral | suci
sacred fig	ara suci
sacredness	kesakralan
sacrifice	menyembelih
sacrilege	sakrilegi
sacristan	koster | sakristan
sacristy	sakristi
sad	sedih
sadden	memilukan
saddle	sadel | daging pelana
sadism	sadisme
sadist	sadis
sadness	kesedihan
safari	safari
safe	brankas | aman | selamat
safeguard	ayom
safely	aman
safety	keamanan | keselamatan
safety pin	peniti
safety stock	persediaan pengaman
safflower	kesumba
saffron	kuma-kuma
sag	berluyutan
saga	saga
sage	salvio
sagination	penggemukan
sago	sagu
sago palm	pohon sagu
said	tersebut
sail	layar
sailboat	kapal layar
sailfish	setuhuk
sailing	belayar
sailing ship	kapal layar
sailmaker	kapal layar
sailor	kelasi | pelaut | pelayar
saint	santo | santa
sakadagami	sakadagami
sake	penyebab
sakura	sakura
saké	sake
salaam	salam
salaam alaikum	assalamu alaikum | assalamualaikum
salacious	jorok
salad	salad
salad spinner	pemusing
salak	salak
salamander	salamander
salary	gaji
salat	salat | solat
salbutamol	salbutamol
sale	penjualan
salesman	penjual
salesperson	penjual
salient	sudut
saline solution	tambak garam
salinity	salinitas
saliva	air liur | air ludah | liur | ludah
sallet	selada
salmon	salmon | bangbang
salo	lapisan lemak
salon	salon
salt	garam | asin
salt lake	danau garam
salt water	air asin
salted	asin
salted egg	telur asin
saltwater crocodile	buaya muara
salty	asin
salubrious	sehat
salutation	judul
salute	hormat
salvage	anugerah
salvation	keselamatan | penyelamatan
salve	salep | balsem
samba	samba
same	sama | serupa
same to you	sama-sama
same-sex	homoseks
samosa	samosa
samovar	samovar
sampan	sampan
sample	sampel
sample space	ruang contoh | ruang sampel
sampling	pemercontohan | pencuplikan | penyampelan | sampling
samurai	samurai
sanctify	mengabdikan
sanctimonious	sok suci
sanction	sanksi
sanctity	kesakralan
sanctuary	suaka
sand	pasir
sandal	sandal
sandalwood	cendana
sandbag	samsak
sandbank	beting
sandbar	beting
sandbeach	berpasir
sandbox	bak pasir
sander	pengampelas
sandhi	sandi
sanding sheet	daun
sandman	Manusia Pasir
sandpaper	ampelas | kertas abrasif
sands	pasir
sandstone	batu pasir | cadas
sandstorm	badai pasir
sandwich	roti lapis | roti apit
sandy	berpasir
sane	waras
sangria	sangria
sanguinary	zalim
sanguine	merah darah
sanity	kewarasan
sanjak	bendera
santol	kecapi | sentul
sap	getah
sapan	secang | sepang
saphead	bebal
sapling	bibit
sapodilla	sawo manila
saponification	saponifikasi
sapphire	safir | batu nilam
sapphism	safisme
sarcasm	sarkasme
sarcastic	sarkastis
sarcoma	sarkoma
sardine	sarden
sardonic	sarkastis
sarong	sarung
sash	jendela
sashay	ayun
sashimi	sashimi
sass	balas
sassenach	orang Inggris
sassy	angkara
satay	satai
satchel	tas sekolah
satellite	satelit
satellite dish	antena parabola
satiated	merasa puas
satire	satire
satisfaction	kepuasan
satisfactory	memuaskan
satisfied	puas
satisfy	memuaskan | puaskan
saturated	jenuh
sauce	saus
saucepan	panci
saucer	alas cangkir | piring | piringan
saucy	tidak tahu malu
sauna	sauna
saunter	berkeluyuran
sausage	sosis
sausage roll	sosis gulung
sauté	tumis | tumisan
savage	biadab
savanna	padang rumput
save	menghemat | menyelamatkan | selamatkan | rekam | simpan
save something for a rainy day	mengesampingkan
saving	tabungan
savings bank	bangku
savior	penyelamat
savory	sedap | gurih
savour	menikmati
savvy	mengambil
saw	gergaji | amsal | peri bahasa | petitih
sawdust	serbuk gergaji
sawfish	gergaji
sawm	puasa | saum
sawmill	penggergajian
sawyer	penggergaji
saxophone	saksofon
say	berkata | bicara | bilang
say again	apa
say cheese	keju
say goodbye	minta diri
say to oneself	berkata
saying	pepatah
sayonara	sayonara
scab	kerak
scabbard	sarung pedang
scabies	kudis | skabies
scad	ikan layang
scaffold	perancah
scaffolding	aram-aram
scalability	skalabilitas
scalar product	perkalian titik
scale	sisik | tangga nada
scale insect	juni
scales	timbangan
scallop	kapis | pinggir lengkung
scalpel	pisau bedah
scalper	calo
scam	scam
scammer	bajingan
scan	pemindaian | memindai | pindaian
scandal	skandal
scandium	skandium
scanlation	pindai terjemah | pindai terjemahan
scanner	pemindai
scant	kurus
scanty	kurus
scapegoat	kambing hitam
scapular	skapulir
scar	parut
scar tissue	bekas luka
scarab	kumbang
scarce	langka
scarcely	dengan buruk
scare	ketakutan
scarecrow	orang-orangan | penakut burung | orang-orangan sawah
scared	takut
scarf	syal | selempang leher
scarlet	merah tua
scarlet fever	emas
scary	menakutkan
scathe	buruk
scathing	ketus
scatter	berserakan
scatter plot	diagram pencar | diagram sebar | diagram tebar
scattered	berceceran
scattering	hamburan
scavenge	di
scenario	skenario
scene	adegan | panggung | tempat kejadian | belantika
scent	bau
sceptical	skeptis
sceptre	jogan
schadenfreude	schadenfreude | senang melihat orang susah | susah melihat orang senang
schedule	jadwal | menjadwalkan
scheduling	penjadwalan
schema	bagan
schematic	skematis
scheme	bagan
schist	sekis
schizoid	skizoid
schizoid personality disorder	kelainan kepribadian skizoid
schizophrenia	skizofrenia
schizotypal personality disorder	gangguan kepribadian skizotipal
scholar	cendekiawan | sarjana
scholarly	ilmuwan
scholarship	beasiswa | dana siswa
scholastic	sekolah
scholasticism	skolastik | skolastisisme
school	sekolah | kawanan | universitas | departemen | fakultas
school board	komite sekolah
school bus	bus sekolah
school of thought	mazhab | aliran
school uniform	seragam sekolah
school year	tahun ajaran
school zone	zona selamat sekolah
schoolbag	tas sekolah
schoolchild	murid
schoolgirl	murid
schoolie	keluaran
schoolmate	rekan
schooner	sekunar
schwa	pepet
sci-fi	fiksi ilmiah
sciatica	skiatika
science	ilmu | ilmu pengetahuan | alam
science fiction	fiksi ilmiah
scientific	ilmiah
scientific method	metode ilmiah
scientific socialism	sosialisme ilmiah
scientist	ilmuwan
scimitar	simitar
scintilla	lembar
scintillate	berkedip-kedip
scion	penerus
scissor	gunting
scissoring	gunting
scissors	gunting
sclerenchyma	sklerenkima
sclerosis	sklerosis
sclerotic	keras
scoff	menyindir | sindiran
scold	bentur
scoliosis	skoliosis
sconce	lampu dinding
scone	scone
scoop	pengki
scooter	skuter
scop	bujangga
scorched rice	intip
scorched-earth policy	strategi bumi hangus
score	partitur
score off	mencium
